INFO    2022-12-01 19:48:08,711 [http-nio-8080-exec-1] com.integrador.clinica.controller.OdontologoController  - Creando Odontologo: Jimena Simanca
INFO    2022-12-01 19:48:12,843 [http-nio-8080-exec-2] com.integrador.clinica.controller.OdontologoController  - Creando Odontologo: Ale Vedoya
INFO    2022-12-01 19:48:15,824 [http-nio-8080-exec-3] com.integrador.clinica.controller.OdontologoController  - Creando Odontologo: Gisell Roldan
INFO    2022-12-01 22:54:41,524 [http-nio-8080-exec-1] com.integrador.clinica.controller.OdontologoController  - Creando Odontologo: Jimena Simanca
INFO    2022-12-01 22:54:46,201 [http-nio-8080-exec-2] com.integrador.clinica.controller.OdontologoController  - Creando Odontologo: Ale Vedoya
INFO    2022-12-01 22:54:49,263 [http-nio-8080-exec-3] com.integrador.clinica.controller.OdontologoController  - Creando Odontologo: Gisell Roldan
INFO    2022-12-01 22:54:58,583 [http-nio-8080-exec-5] com.integrador.clinica.controller.OdontologoController  - Se actualizó el odontologo Jimena Simanca
INFO    2022-12-01 22:55:35,539 [http-nio-8080-exec-10] com.integrador.clinica.controller.OdontologoController  - Se actualizó el odontologo Jimena Simanca
INFO    2022-12-01 22:56:07,177 [http-nio-8080-exec-2] com.integrador.clinica.controller.OdontologoController  - Se actualizó el odontologo Jimena Simanca
INFO    2022-12-02 08:21:41,239 [http-nio-8080-exec-1] com.integrador.clinica.controller.OdontologoController  - Creando Odontologo: Jimena Simanca
INFO    2022-12-02 08:21:44,262 [http-nio-8080-exec-2] com.integrador.clinica.controller.OdontologoController  - Creando Odontologo: Ale Vedoya
INFO    2022-12-02 08:21:46,965 [http-nio-8080-exec-3] com.integrador.clinica.controller.OdontologoController  - Creando Odontologo: Gisell Roldan
INFO    2022-12-02 08:21:56,100 [http-nio-8080-exec-5] com.integrador.clinica.controller.OdontologoController  - Se actualizó el odontologo Jimena Simanca
INFO    2022-12-02 08:22:18,812 [http-nio-8080-exec-9] com.integrador.clinica.controller.OdontologoController  - Se actualizó el odontologo Jimena Simanca
INFO    2022-12-02 08:22:28,809 [http-nio-8080-exec-1] com.integrador.clinica.controller.OdontologoController  - Se encontró el odontologo Jimena Simanca
INFO    2022-12-02 08:25:15,688 [http-nio-8080-exec-1] com.integrador.clinica.controller.OdontologoController  - Creando Odontologo: Jimena Simanca
